frameIndex,thumb_angle,thumb_angle_interval,thumb_v,index_angle,index_angle_interval,index_v,middle_angle,middle_interval,middle_v,ring_angle,ring_interval,ring_v,pinky_angle,pinky_interval,pinky_v,palm_angle,palm_interval,palm_v,date_now
frameIndex,thumb_angle,thumb_angle_interval,thumb_v,index_angle,index_angle_interval,index_v,middle_angle,middle_interval,middle_v,ring_angle,ring_interval,ring_v,pinky_angle,pinky_interval,pinky_v,palm_angle,palm_interval,palm_v
frameIndex,thumb_angle,thumb_angle_interval,thumb_v,index_angle,index_angle_interval,index_v,middle_angle,middle_interval,middle_v,ring_angle,ring_interval,ring_v,pinky_angle,pinky_interval,pinky_v,palm_angle,palm_interval,palm_v,date_now
95,168,6,125.424942120263,168,6,140.887384991039,168,6,155.664274485243,161,6,158.494334273376,162,6,159.175557535347,172,6,155.197761100421,2021/12/2 12:25:13
96,174,6,162.737087491063,174,6,216.219282108679,174,6,206.876215137359,169,6,181.985939345859,167,6,158.383913570785,177,6,165.118326498364,2021/12/2 12:25:13
97,168,6,144.430448305205,168,6,196.165533670902,168,6,187.29409759998,161,6,170.291174563982,166,6,154.515830078946,173,6,152.793511154012,2021/12/2 12:25:14
98,164,6,116.541942288555,164,6,118.013719476326,164,6,140.924880104751,152,6,150.898685851204,155,6,158.613824646172,172,6,136.711099498343,2021/12/2 12:25:14
99,172,6,141.447272737025,172,6,206.443738530726,172,6,213.725282540535,169,6,211.197285750613,169,6,193.282237886499,175,6,151.517592472821,2021/12/2 12:25:14
100,166,6,139.810410306647,166,6,177.105873075741,166,6,169.639771647793,166,6,161.069941522052,168,6,153.198449827575,176,6,157.739110812568,2021/12/2 12:25:14
101,164,6,135.80729787464,164,6,147.939133388064,164,6,168.038917231674,157,6,165.002669365869,158,6,153.019254422732,173,6,153.463768632998,2021/12/2 12:25:14
102,171,6,157.083544342079,171,6,204.382281515777,171,6,214.733950731019,141,5,204.727410635195,146,5,180.433565791353,173,6,148.487995770513,2021/12/2 12:25:14
103,165,6,159.005736323154,165,6,104.583513432752,165,6,122.417110770218,142,5,123.003120197293,148,5,117.735725086548,173,6,134.05953399848,2021/12/2 12:25:14
104,177,6,145.228723692803,177,6,182.31108212994,177,6,184.56297147404,167,6,179.356069777894,167,6,171.00149110447,177,6,169.990317759627,2021/12/2 12:25:14
105,172,6,201.2138702137,172,6,178.323407425006,172,6,151.022979651632,171,6,137.225668813769,173,6,139.759904408339,177,6,211.75304240521,2021/12/2 12:25:14
106,171,6,187.143967431723,171,6,163.077366516631,171,6,174.570780969097,168,6,179.349123773348,170,6,180.849403205748,177,6,207.310392027585,2021/12/2 12:25:14
107,170,6,187.378274239985,170,6,179.943819542411,170,6,187.609584920447,175,6,197.971745640353,176,6,201.607940677134,177,6,221.69969058821,2021/12/2 12:25:14
108,171,6,201.535875608356,171,6,245.301024062813,171,6,258.397816539195,175,6,266.051709315103,176,6,257.136755337253,177,6,231.575358415731,2021/12/2 12:25:14
109,171,6,201.646212530623,171,6,213.878311052104,171,6,211.65949379883,175,6,220.181181675286,175,6,229.705144362281,178,6,249.430190933139,2021/12/2 12:25:14
110,176,6,209.406707490147,176,6,267.131603648687,176,6,274.553956333283,179,6,274.575056460601,178,6,260.157565544144,179,6,242.991014635531,2021/12/2 12:25:14
111,174,6,237.157225895336,174,6,299.438570886539,174,6,301.256567096531,177,6,293.35722645776,178,6,267.489635686737,179,6,251.513152375409,2021/12/2 12:25:14
112,173,6,227.177544630054,173,6,242.529798040855,173,6,247.571350041842,176,6,257.378273179235,177,6,262.088403640093,178,6,261.295993826332,2021/12/2 12:25:14
113,175,6,227.418717133721,175,6,291.397193249198,175,6,294.472429052958,177,6,291.233937401463,177,6,272.886515419117,179,6,259.492976685063,2021/12/2 12:25:14
114,177,6,180.530195402258,177,6,233.768521610852,177,6,234.527528060937,178,6,237.131534519372,177,6,232.029519344106,177,6,229.411343840499,2021/12/2 12:25:14
115,171,6,164.694560979973,171,6,251.481179113609,171,6,254.171460707226,173,6,257.171137328261,172,6,247.679717644136,176,6,232.351820487328,2021/12/2 12:25:14
116,171,6,182.531030410742,171,6,282.854101622457,171,6,303.996497446909,177,6,299.417775845279,177,6,272.624862762215,178,6,223.478775387604,2021/12/2 12:25:14
117,173,6,172.234536270693,173,6,217.597507321496,173,6,233.100941702548,179,6,244.390372606297,178,6,247.27375926698,177,6,217.296118464908,2021/12/2 12:25:14
118,176,6,194.385153215391,176,6,246.471890129208,176,6,258.687114717984,177,6,259.940283633624,177,6,248.246611103971,179,6,223.374297056511,2021/12/2 12:25:14
119,174,6,163.166393682237,174,6,203.199405586104,174,6,225.676913987318,176,6,233.850486146204,176,6,237.349677037357,178,6,214.495822461121,2021/12/2 12:25:14
120,178,6,189.588843490725,178,6,245.640513740692,178,6,269.845200951948,177,6,270.667449419261,177,6,260.516882373134,178,6,215.69698595599,2021/12/2 12:25:14
121,176,6,179.202642013459,176,6,218.597773069023,176,6,245.738853382761,178,6,254.594798685683,178,6,250.702835244511,179,6,214.594679797227,2021/12/2 12:25:14
122,177,6,210.984785300884,177,6,234.228734442141,177,6,247.446371676432,177,6,241.460271753347,177,6,220.861617211495,178,6,206.04419526442,2021/12/2 12:25:14
123,168,6,177.570899638044,168,6,201.899503698006,168,6,222.941796049606,169,6,233.669323673913,170,6,229.229957116815,172,6,199.489664283719,2021/12/2 12:25:14
124,171,6,233.508687629556,171,6,297.622149924102,171,6,320.874424772108,177,6,293.153025531976,176,6,231.923111061583,177,6,191.266024528087,2021/12/2 12:25:14
125,176,6,171.644338918368,176,6,195.395092444563,176,6,226.404538848079,178,6,225.986131803483,176,6,204.770998591038,178,6,163.30247805938,2021/12/2 12:25:14
126,175,6,235.024121032328,175,6,258.639238463369,175,6,279.553094506241,176,6,265.752090994145,175,6,219.439431849043,176,6,178.752141556217,2021/12/2 12:25:14
127,177,6,202.734210032533,177,6,202.09813481439,177,6,220.674945212752,176,6,217.339915837913,176,6,194.806390316938,177,6,168.847624638927,2021/12/2 12:25:14
128,162,6,212.984691792968,162,6,207.96460745248,162,6,218.019608132864,174,6,208.538628661188,175,6,185.778607455511,176,6,175.034202516825,2021/12/2 12:25:14
129,158,6,120.913820589584,158,6,218.732558241458,158,6,277.043522348299,173,6,273.956605040318,171,6,231.728315672177,174,6,143.962158793486,2021/12/2 12:25:14
130,171,6,126.231746666564,171,6,145.267084628483,171,6,171.562139042664,175,6,173.062443541031,173,6,149.491683228646,175,6,139.250699713442,2021/12/2 12:25:14
131,174,6,132.678075249611,174,6,165.543680295462,174,6,197.629604281725,175,6,199.925700729292,174,6,171.803089825869,176,6,148.384535868921,2021/12/2 12:25:14
132,168,6,109.282314567959,168,6,141.014399076663,168,6,161.649689318888,175,6,158.31052998334,175,6,135.543783810902,177,6,127.994536661108,2021/12/2 12:25:14
133,170,6,66.8569881934565,170,6,100.720164527423,170,6,122.031294687269,174,6,126.966605021737,176,6,107.686900456535,177,6,92.1695668623733,2021/12/2 12:25:14
134,173,6,71.1941430866079,173,6,97.7724868829696,173,6,112.783620318152,171,6,117.825044015576,170,6,109.115026215138,178,6,95.1215591545415,2021/12/2 12:25:14
135,176,6,76.6165084382409,176,6,87.5890649020545,176,6,94.8796921002851,172,6,94.8806790974933,173,6,86.8829922387856,178,6,92.0132204575174,2021/12/2 12:25:14
